,country,expected_years_of_schooling
5689,Türkiye,17.32136917
6035,Vanuatu,10.91166435
5869,United States of America,15.63597679
6058,Samoa,12.00415039
4381,Panama,13.05787868
5068,Serbia,12.96475983
957,Canada,16.39625931
4807,Sudan,5.117388133
5470,Thailand,15.88221913
1846,Fiji,14.32634988
3027,South Korea,16.77609062
3283,Sri Lanka,13.49294788
4473,Palau,16.35988484
1770,Ethiopia,4.308070183
1505,Denmark,14.20090961
3284,Sri Lanka,13.61217976
244,Antigua and Barbuda,14.98256016
668,Belarus,15.40478992
3716,Malta,13.20353031
4440,Philippines,12.64978981
1215,Colombia,14.44274998
1630,Ecuador,14.62423038
5408,Togo,7.492650032
1868,France,14.62263966
4594,Portugal,15.95997047
3141,Liberia,11.96958591376549
3607,Mexico,13.87195969
1449,Djibouti,3.021450043
4554,North Korea,11.96958591376549
213,Armenia,13.12232971
1190,Colombia,11.00516987
3407,Latvia,15.96102047
208,Armenia,11.92465019
2638,Iceland,17.98419952
2579,Iran (Islamic Republic of),12.70823956
3318,Lesotho,12.36983013
5159,Suriname,11.56020157
5850,Uruguay,16.63433075
109,Andorra,10.94253
2767,Jordan,12.7048502
4047,Niger,3.628170013
4011,Namibia,11.90608978
1536,Dominican Republic,9.143647877
1733,Estonia,12.90907955
2708,Italy,16.47192001
761,Brazil,15.36513042
3300,Lesotho,8.75881958
2149,Equatorial Guinea,11.96958591376549
4700,Romania,14.27499962
399,Belgium,18.71475983
1904,Micronesia,11.030318
3577,Maldives,12.5176847
5396,Chad,6.616559982
1236,Comoros,10.76564007
1842,Fiji,14.12112983
5151,Sao Tome and Principe,13.36538506
559,Bahrain,13.08207035
5848,Uruguay,16.32092094
6103,Yemen,9.09871006
2960,Kiribati,11.76896954
3866,Mozambique,9.926485062
5363,Syrian Arab Republic,11.51060963
2422,Haiti,8.948
2080,Gambia,4.672284859
5583,Tonga,14.70529343
2278,Guyana,10.28722913
5657,Tunisia,14.8910799
133,United Arab Emirates,10.92536893
3310,Lesotho,10.67878008
4925,Solomon Islands,10.32869027
1020,Chile,16.58595085
438,Benin,11.99856472
3938,Malawi,6.851079941
3696,Mali,6.502524972
98,Andorra,10.79878
4745,Rwanda,7.171490192
428,Benin,7.881559849
5777,Uganda,10.8969367
4996,San Marino,11.96958591376549
1297,Costa Rica,13.05919402
5336,Seychelles,14.26441002
2330,Hong Kong,16.46666908
1126,Democratic Republic of the Congo,6.819668969
2614,Iraq,11.17797675
4883,Singapore,14.5
4828,Sudan,7.859990261
923,Central African Republic,7.679581304
405,Belgium,19.12809944
5690,Türkiye,17.69868088
861,Bhutan,13.22500478
5043,Somalia,11.96958591376549
29,Afghanistan,10.26384398
661,Belarus,15.72727013
5157,Suriname,11.63563832
1259,Cabo Verde,11.26502991
1534,Denmark,18.71479988
4017,Namibia,11.60042298
2991,Saint Kitts and Nevis,14.27287827
4112,Nicaragua,10.91788199
5209,Slovakia,14.67733955
2865,Kenya,9.739919662
3724,Malta,13.9998703
895,Botswana,12.26513765
2433,Hungary,11.11417961
2354,Honduras,10.16366959
675,Belize,10.44790371
577,Bahamas,11.96958591376549
6086,Yemen,7.357606016
728,Bolivia (Plurinational State of),14.04903984
5849,Uruguay,16.34380913
4611,Paraguay,9.436340332
720,Bolivia (Plurinational State of),13.92763519
4001,Namibia,10.83835983
44,Angola,5.414593379
4551,North Korea,11.96958591376549
4889,Singapore,16.1
4479,Palau,15.78432
2279,Guyana,10.3959875
6140,South Africa,13.53530979
3874,Mauritania,4.146910191
4379,Panama,12.95616796
1289,Costa Rica,11.36268663
1789,Ethiopia,9.651071421
4949,Sierra Leone,9.072145944
4232,Nauru,11.96958591376549
946,Canada,15.17990971
2228,Grenada,17.88404147
702,Belize,12.99168968
5554,Timor-Leste,12.21044827
278,Australia,22.62538878
5007,San Marino,11.96958591376549
5050,Somalia,11.96958591376549
69,Albania,10.16617012
6116,South Africa,12.89400959
61,Angola,12.1721
1136,Democratic Republic of the Congo,7.900360386
3352,Lithuania,16.46250916
4509,Papua New Guinea,10.36077074
494,Bangladesh,8.501474762
6114,South Africa,12.30349636
4541,Poland,16.0271492
2954,Kiribati,10.38836956
954,Canada,16.00966072
4547,North Korea,11.96958591376549
1841,Fiji,14.06982481
821,Brunei Darussalam,14.34918022
182,Argentina,17.10737038
881,Botswana,12.53254986
5709,Tuvalu,10.90167821
2848,Kenya,7.605321279
5993,Viet Nam,10.6785155
16,Afghanistan,7.926955986
3518,Moldova,14.43299961
1486,Dominica,12.84987045
4377,Panama,12.70656967
3519,Moldova,14.43299961
420,Benin,5.772693333
2844,Kazakhstan,15.44011021
3622,Marshall Islands,11.96958591376549
477,Burkina Faso,9.262040138
3956,Malawi,10.7601099
4038,Niger,2.461354494
4845,Senegal,6.234305859
5215,Slovakia,14.51303959
1107,Cameroon,9.870570183
2223,Grenada,16.93643998
3083,Lao People's Democratic Republic,8.008970261
221,Armenia,13.10608959
5772,Uganda,9.697890917
3930,Mauritius,15.09776974
2276,Guyana,10.07311384
5625,Trinidad and Tobago,13.99219652
1829,Fiji,12.79509989
1397,Czechia,16.07696915
5052,Somalia,11.96958591376549
5142,Sao Tome and Principe,10.60344028
1964,United Kingdom,16.10576057
2134,Guinea-Bissau,9.84512905
2648,Iceland,19.58976936
309,Austria,16.0272007
439,Benin,12.55957985
4329,Pakistan,5.115082227
5020,San Marino,11.89288998
1,Afghanistan,2.806550026
2831,Kazakhstan,14.38154697
1929,Gabon,12.15069008
2678,Israel,16.09416008
574,Bahrain,16.29755974
6047,Vanuatu,11.53531503
4,Afghanistan,3.714050055
1999,Georgia,13.7594099
516,Bulgaria,11.80574036
4739,Rwanda,6.14519008
3200,Saint Lucia,13.84337435
3453,Morocco,13.95818996
4307,Oman,13.3710804
4283,New Zealand,18.83856964
4933,Sierra Leone,5.078389835
836,Bhutan,5.603202172
967,Switzerland,14.80767012
4859,Senegal,9.057225227
5012,San Marino,11.96958591376549
1122,Democratic Republic of the Congo,6.406913956
5605,Trinidad and Tobago,11.2391725
5918,Uzbekistan,12.47714043
4448,Palau,15.608346815
1864,France,15.69322014
4829,Sudan,7.945187858
2717,Italy,16.22678947
4735,Russian Federation,15.76636982
74,Albania,10.5894804
2511,India,9.650395393
1338,Cuba,13.81694984
4942,Sierra Leone,7.158299829
2430,Haiti,9.7
3474,Monaco,11.96958591376549
1124,Democratic Republic of the Congo,6.608461029
1810,Finland,17.04219055
3498,Moldova,9.838028244
2028,Ghana,7.619709969
3617,Marshall Islands,11.96958591376549
5310,Eswatini,13.74434586
4086,Nigeria,8.861738897
2791,Japan,14.02762
5891,Uzbekistan,10.83678314
1288,Costa Rica,11.21103001
2787,Japan,13.46142483
5450,Thailand,11.23178005
5124,Sao Tome and Principe,8.567462643
4364,Panama,12.73756981
1592,Algeria,14.3813828
1663,Egypt,13.78649972
4481,Papua New Guinea,3.951165325
3644,Marshall Islands,10.35272626
4597,Portugal,16.21479988
5669,Türkiye,9.732910156
5165,Suriname,11.52178391
1355,Cyprus,12.50660992
3391,Luxembourg,14.39813995
5534,Turkmenistan,13.21039963
4718,Russian Federation,13.84131527
1726,Spain,17.91690063
2003,Georgia,13.50502968
3233,Liechtenstein,11.96958591376549
2541,Ireland,16.98218918
2088,Gambia,6.043708288
5161,Suriname,11.48476481
2185,Greece,13.7697401
5644,Tunisia,13.43704987
4358,Panama,11.32726955
3421,Latvia,16.20252991
6004,Viet Nam,12.48615055
6179,Zimbabwe,10.03462315
4688,Romania,14.0582304
4235,Nauru,9.690799713
1516,Denmark,16.31981087
892,Botswana,12.27946483
3426,Morocco,6.601980209
4503,Papua New Guinea,8.915829167
2906,Kyrgyzstan,13.03036976
1587,Algeria,13.56070995
279,Australia,22.77989939
4159,Netherlands,18.69316522
5943,Saint Vincent and the Grenadines,14.19926023
3925,Mauritius,14.29753017
4304,Oman,11.78359985
4059,Niger,6.406770229
1670,Eritrea,5.232279778
5123,Sao Tome and Principe,8.481646891
1931,Gabon,12.18682003
5233,Slovenia,16.92316055
2740,Jamaica,12.76708589
4258,New Zealand,15.16473961
2762,Jordan,11.9365797
5518,Turkmenistan,12.01457256
5510,Turkmenistan,12.01457256
4655,Qatar,13.19303989
2965,Kiribati,11.8186087
5579,Tonga,13.40598965
4978,El Salvador,12.36439991
2072,Guinea,9.009260178
1821,Finland,19.05192947
1216,Comoros,8.155587341
4393,Peru,13.03771019
4196,Nepal,7.933139801
4901,Solomon Islands,7.180796146
3393,Latvia,12.55290985
903,Central African Republic,4.904709592
60,Angola,12.1721
5693,Türkiye,18.3382206
2312,Hong Kong,14.02618943
79,Albania,11.41928005
2546,Ireland,17.26186943
4890,Singapore,16.31657982
3249,Liechtenstein,14.42228985
1548,Dominican Republic,11.46365672
5594,Tonga,15.69036338
6194,Zimbabwe,10.76559088
2523,India,12.16333008
5029,Somalia,11.96958591376549
5339,Seychelles,13.89396954
2941,Cambodia,11.46772
850,Bhutan,10.6266098
697,Belize,12.79226017
4091,Nigeria,9.758482316
793,Barbados,15.49819365
1537,Dominican Republic,9.316756071
5241,Slovenia,17.29199028
4709,Russian Federation,11.77857018
1042,China,11.99339962
730,Bolivia (Plurinational State of),14.49550819
2757,Jordan,11.51270008
1996,Georgia,13.54679012
3250,Liechtenstein,14.65060997
5227,Slovenia,15.60025024
1817,Finland,19.31862068
781,Barbados,14.40439669
4736,Rwanda,5.632040024
2207,Greece,20.02878952
1009,Chile,14.72467041
4056,Niger,5.683529854
5116,South Sudan,5.54251
5810,Ukraine,14.78808975
4410,Peru,14.86186981
4140,Netherlands,16.30929947
3986,Malaysia,12.47745037
254,Antigua and Barbuda,14.18462641
6073,Samoa,12.31518221
281,Australia,23.08892059
3423,Latvia,16.20252991
5541,Timor-Leste,12.413273135
4782,Saudi Arabia,12.49409931
1201,Colombia,13.31727028
1584,Algeria,12.34442043
5479,Tajikistan,9.9062047
5570,Tonga,12.41059662
5711,Tuvalu,10.93419671
3482,Monaco,11.96958591376549
3813,Mongolia,7.67553997
4921,Solomon Islands,10.48410569
3061,Kuwait,14.02091904
538,Bulgaria,14.64490986
2949,Kiribati,10.85208988
6203,Zimbabwe,11.85394325
3652,North Macedonia,10.72274017
3499,Moldova,10.1809489
3170,Libya,14.34471211
2538,Ireland,16.4296093
2411,Haiti,7.98889125
5639,Tunisia,11.77896023
1238,Comoros,11.08738003
5985,Viet Nam,8.153502345
5815,Ukraine,14.82952976
2079,Guinea,9.805297465
4900,Solomon Islands,7.179950237
2973,Kiribati,11.801993
987,Switzerland,16.32843971
126,Andorra,13.30023874
2606,Iraq,10.15952969
3363,Luxembourg,11.43727764
381,Burundi,10.72272189
1962,United Kingdom,16.09623909
4583,Portugal,15.65526009
211,Armenia,12.95680046
3781,Montenegro,11.96958591376549
6053,Samoa,11.9775
2655,Iceland,19.16305923
3131,Lebanon,11.28587
2839,Kazakhstan,15.07024002
1080,Côte d'Ivoire,8.536709785
2542,Ireland,17.24028015
1916,Micronesia,11.54947988
666,Belarus,15.58063984
5084,Serbia,14.73746967
1175,Congo,10.94790996
3949,Malawi,10.29662514
900,Central African Republic,4.532211977
2918,Cambodia,7.390793218
1120,Democratic Republic of the Congo,6.211513732
4730,Russian Federation,15.20600986
3802,Montenegro,14.89723969
332,Azerbaijan,10.66972088
1012,Chile,15.10027027
4184,Norway,17.68293953
2162,Equatorial Guinea,8.196451015
1878,France,15.26072025
5268,Sweden,15.92706966
1692,Eritrea,8.057060598
2985,Saint Kitts and Nevis,13.7950943
5384,Chad,4.477240086
2024,Ghana,7.373163743
5189,Slovakia,12.04553986
5708,Tuvalu,10.88541895
4483,Papua New Guinea,4.307907813
3199,Libya,12.85428
3477,Monaco,11.96958591376549
2862,Kenya,9.222590446
806,Brunei Darussalam,12.75127506
3543,Madagascar,10.37396002
990,Switzerland,16.50029945
3858,Mozambique,9.551600456
5320,Seychelles,11.97716045
2502,India,8.175550461
3024,South Korea,16.44425964
5039,Somalia,11.96958591376549
5619,Trinidad and Tobago,13.08219282
3833,Mongolia,14.8045454
1659,Egypt,13.32623959
416,Benin,5.29268
3963,Malawi,12.21168316
1396,Czechia,16.01416016
4202,Nepal,8.959230423
2879,Kenya,10.69855835
2184,Greece,13.81110001
5200,Slovakia,14.42905045
2251,Guatemala,8.655271258
396,Belgium,18.42923927
715,Bolivia (Plurinational State of),14.34016643
3668,North Macedonia,12.84206009
966,Switzerland,14.57855034
5648,Tunisia,14.25150013
5234,Slovenia,16.95817947
5179,Suriname,12.97045829
5822,Ukraine,14.95656854
1283,Costa Rica,10.45274687
1022,Chile,16.73130035
382,Burundi,10.72272189
5916,Uzbekistan,12.25255966
3673,North Macedonia,13.32861996
6197,Zimbabwe,11.27937751
1002,Chile,13.15431976
272,Australia,21.69832516
3257,Liechtenstein,14.71424007
1851,Fiji,14.58287496
1599,Algeria,14.62689602
4322,Pakistan,4.734723825
5683,Türkiye,12.97735977
2936,Cambodia,11.13682789
4451,Palau,15.608346815
4051,Niger,4.374360085
3067,Kuwait,15.00589617
3508,Moldova,13.26723481
5494,Tajikistan,11.30372047
4508,Papua New Guinea,10.104625
3214,Saint Lucia,12.16872025
4075,Nigeria,7.746399879
2485,Indonesia,12.59058952
177,Argentina,16.17280006
5217,Slovenia,12.04930973
2014,Georgia,15.56851959
739,Brazil,12.7706025
5750,Tanzania,8.987349892
2246,Guatemala,7.22197846
2163,Equatorial Guinea,8.33631365
5642,Tunisia,13.02898979
784,Barbados,15.03616158
2017,Ghana,6.826328267
5260,Sweden,18.60659027
64,Albania,11.60293007
594,Bahamas,12.3489141
4935,Sierra Leone,5.503199863
5431,Togo,12.26636982
6074,Samoa,12.33591766
1675,Eritrea,6.518129826
303,Austria,15.56980663
274,Australia,22.00734637
3988,Malaysia,12.85531998
5085,Serbia,14.65697002
1886,France,15.81206989
5231,Slovenia,16.70615959
2615,Iraq,11.3072805
3154,Liberia,9.7317335
1622,Ecuador,15.02369022
5497,Tajikistan,11.47789213
1567,Dominican Republic,14.46655802
622,Bosnia and Herzegovina,12.488
5446,Thailand,9.777119637
3661,North Macedonia,11.64132023
1812,Finland,16.93851089
6199,Zimbabwe,11.35614014
2158,Equatorial Guinea,7.637000475
5119,South Sudan,5.54251
3775,Myanmar,10.90913752
1432,Germany,16.73534012
3709,Mali,7.423037617
1382,Czechia,13.08154011
4170,Norway,17.49785995
1517,Denmark,16.47481537
743,Brazil,13.65957917
1442,Djibouti,2.787640095
2378,Croatia,12.32102013
2707,Italy,16.46048927
2,Afghanistan,3.109050035
222,Armenia,13.11676025
3712,Malta,12.67961025
2732,Jamaica,11.77513027
4997,San Marino,11.96958591376549
617,Bosnia and Herzegovina,13.137806665
398,Belgium,18.3640995
5280,Eswatini,9.369875389
1448,Djibouti,3.009010077
3025,South Korea,16.65792084
1258,Cabo Verde,11.53789997
1861,France,15.70378017
5584,Tonga,14.79484524
471,Burkina Faso,7.72631979
5524,Turkmenistan,10.81874549
1745,Estonia,16.1149292
2562,Iran (Islamic Republic of),10.35805479
635,Bosnia and Herzegovina,13.78761333
5192,Slovakia,12.87141037
3157,Liberia,9.834911
226,Antigua and Barbuda,14.60973302
3240,Liechtenstein,14.588335035
773,Barbados,13.45477443
2281,Guyana,10.61696583
505,Bangladesh,11.00469518
4780,Saudi Arabia,12.02990629
5115,South Sudan,5.54251
5844,Uruguay,15.41096973
4043,Niger,2.889072657
5150,Sao Tome and Principe,13.36538506
1742,Estonia,15.87446976
3527,Madagascar,7.622548993
2820,Kazakhstan,12.06182003
4961,El Salvador,9.195750237
6091,Yemen,8.226850033
6167,Zambia,10.92639243
4970,El Salvador,11.51992035
1265,Cabo Verde,12.34261036
1646,Egypt,11.2580204
5565,Timor-Leste,12.616098
1479,Dominica,12.80393867
5299,Eswatini,12.27886581
2429,Haiti,9.7
4349,Pakistan,8.658349991
2775,Jordan,10.93816566
5920,Saint Vincent and the Grenadines,11.70584267
362,Burundi,4.525563538
824,Brunei Darussalam,14.87514973
3914,Mauritius,12.23978043
4465,Palau,15.43237363
2547,Ireland,17.03665924
3303,Lesotho,8.659733136
2177,Greece,12.93603039
4790,Saudi Arabia,14.70959582
5976,Venezuela (Bolivarian Republic of),14.12521
5273,Sweden,18.5685997
5971,Venezuela (Bolivarian Republic of),14.31676006
1408,Germany,14.56072642
2127,Guinea-Bissau,8.693940163
2635,Iceland,17.24799919
2770,Jordan,12.54397011
135,United Arab Emirates,11.16307764
2099,Gambia,7.964540005
6075,Samoa,12.35665312
1609,Ecuador,12.94741685
2940,Cambodia,11.33676945
1184,Colombia,8.941541632
2974,Kiribati,11.801993
1860,France,15.58909988
3625,Marshall Islands,10.29602303
345,Azerbaijan,12.81493173
4842,Senegal,5.464044094
1473,Dominica,12.80393867
2368,Croatia,9.487243058
442,Benin,12.61454964
752,Brazil,13.54003525
3645,Marshall Islands,10.2393198
1920,Gabon,11.83213
4132,Netherlands,17.31242943
1285,Costa Rica,10.75606012
4366,Panama,12.90060043
4332,Pakistan,5.278092971
2739,Jamaica,12.69840878
2304,Hong Kong,13.05466606
5458,Thailand,13.23031044
3112,Lebanon,14.17113667
1786,Ethiopia,9.096271752
2793,Japan,14.1330204
2587,Iran (Islamic Republic of),14.81373024
2864,Kenya,9.491789818
137,United Arab Emirates,11.40078636
5537,Timor-Leste,12.507159
1914,Micronesia,11.25026
4385,Peru,11.70501995
5799,Ukraine,12.58350601
4582,Portugal,15.43239975
2110,Gambia,9.418626299
4256,New Zealand,14.48279953
1290,Costa Rica,11.51434326
3017,South Korea,15.42980003
3130,Lebanon,10.83927
3688,Mali,3.98229003
4575,North Korea,10.78317
5505,Turkmenistan,11.596108435
4013,Namibia,11.87378979
2619,Iraq,11.8244955
2133,Guinea-Bissau,9.735424232
3940,Malawi,7.435420036
1684,Eritrea,8.03085041
5500,Tajikistan,11.60900119
2681,Israel,16.17112923
535,Bulgaria,14.90898991
5727,Tuvalu,9.40443
3288,Sri Lanka,13.92172654
2434,Hungary,11.21051025
560,Bahrain,13.21131992
1017,Chile,16.36503983
4328,Pakistan,5.060745313
3845,Mozambique,4.073319912
5400,Chad,7.879559994
1480,Dominica,12.80393867
4619,Paraguay,12.10713959
1543,Dominican Republic,10.42644165
93,Albania,14.81892014
2981,Saint Kitts and Nevis,13.47657166
5803,Ukraine,13.73404026
5008,San Marino,11.96958591376549
3045,Kuwait,11.45228958
2038,Ghana,11.13860035
